序号,代码,名称,资讯出现次数
1,260611,未知,128
2,002378,未知,100
3,260612,未知,78
4,600378,未知,16
5,688549,未知,16
6,601958,未知,16
7,001696,未知,16
8,000636,未知,16
9,002636,未知,10
10,601899,未知,10
11,600549,未知,10
12,002407,未知,10
13,002741,未知,10
14,000547,未知,10
15,001257,未知,10
16,002354,未知,10
17,300502,未知,10
18,605358,未知,10
19,603065,未知,10
20,603993,未知,10
21,002971,未知,10
22,002428,未知,10
23,688146,未知,10
24,260613,未知,8
25,688503,未知,8
26,605117,未知,8
27,301217,未知,8
28,002850,未知,8
29,301236,未知,8
30,000630,未知,8
31,000878,未知,8
32,600160,未知,8
33,603399,未知,8
34,603335,未知,8
35,300750,未知,8
36,600531,未知,8
37,301252,未知,8
38,603678,未知,8
39,301150,未知,8
40,688388,未知,8
41,600961,未知,8
42,688300,未知,8
43,601111,未知,8
44,600110,未知,8
45,301013,未知,8
46,603738,未知,8
47,002240,未知,8
48,300657,未知,8
49,300433,未知,8
50,600623,未知,8
51,600183,未知,8
52,603538,未知,8
53,300378,未知,8
54,688662,未知,8
55,601975,未知,8
56,300408,未知,8
57,300308,未知,8
58,688322,未知,8
59,002484,未知,8
60,600519,未知,8
61,000960,未知,8
62,000768,未知,8
63,300376,未知,8
64,688227,未知,8
65,300608,未知,8
66,300666,未知,8
67,600667,未知,8
68,002842,未知,8
69,001221,未知,8
70,300024,未知,4
71,601696,未知,4
72,603986,未知,4
73,603629,未知,4
74,603726,未知,2
75,002673,未知,2
76,002208,未知,2
77,000685,未知,2
78,301018,未知,2
79,001309,未知,2
80,601127,未知,2
81,002594,未知,2
82,688347,未知,2
83,603120,未知,2
84,300617,未知,2
85,000032,未知,2
86,300814,未知,2
87,300475,未知,2
88,300223,未知,2
89,000672,未知,2
90,601377,未知,2
91,601456,未知,2
92,688525,未知,2
93,000969,未知,2
94,002935,未知,2
95,688981,未知,2
96,600497,未知,2
97,688629,未知,2
98,601688,未知,2
99,000751,未知,2
100,688110,未知,2
