代码,名称,共振,组合,现价,昨收,涨跌幅,最高,最低,成交额万,换手率,PE_TTM,振幅,流通市值亿,总市值亿,PB,量比,时间,R5,R20,R60,MA5,MA20,MA60,多头排列,距MA20,距60日高,距年高,年内位置,RSI14,MACD柱,量能比,波动率20,最新K日
000021,深科技,1,同花顺,34.51,37.23,-7.31,36.7,34.4,446980.0,8.07,45.32,6.18,543.24,543.32,4.17,0.7,20260803161448,-21.48,-35.25,12.05,37.57,44.02,43.08,0.0,-21.61,-46.3,-46.3,35.5,27.9,-2.227,0.87,7.19,2026-08-03
000034,神州数码,1,龙头股,23.88,24.1,-0.91,24.78,23.68,88308.0,4.32,44.82,4.56,202.78,242.8,2.17,0.72,20260803161409,-11.49,-17.31,-16.31,24.49,26.31,26.68,0.0,-9.24,-22.87,-30.93,13.9,41.8,-0.701,0.7,4.9,2026-08-03
000066,中国长城,1,龙头股,13.83,13.74,0.66,13.96,13.6,111447.0,2.5,2211.42,2.62,446.09,446.13,4.08,0.65,20260803161412,-6.99,-26.51,-40.1,13.8,15.89,17.9,0.0,-12.94,-45.47,-45.47,5.6,28.1,-0.357,0.63,4.03,2026-08-03
000533,顺钠股份,1,同花顺,11.45,10.41,9.99,11.45,10.29,126090.0,16.88,79.61,11.14,78.42,79.1,8.02,0.76,20260803161451,8.94,24.19,-14.81,11.29,9.27,10.71,0.0,23.47,-22.48,-44.23,34.5,69.1,0.82,2.78,6.08,2026-08-03
000595,新能股份,1,同花顺,5.96,5.42,9.96,5.96,5.42,32673.0,4.97,71.38,9.96,67.86,67.86,14.02,0.91,20260803161418,1.36,-7.17,-10.38,5.42,5.31,6.35,0.0,12.3,-26.05,-26.05,40.0,63.0,0.222,1.32,6.72,2026-08-03
000603,盛达资源,1,同花顺,25.72,25.4,1.26,26.08,25.0,130740.0,7.67,20.82,4.25,171.48,177.46,4.72,0.89,20260803161421,3.17,6.63,-35.78,24.85,22.62,27.3,0.0,13.68,-34.62,-62.0,20.3,64.5,1.446,1.18,5.48,2026-08-03
000636,风华高科,2,龙头股+同花顺,51.96,49.35,5.29,53.18,47.01,920777.0,15.65,195.63,12.5,601.18,601.18,4.86,0.92,20260803161442,17.45,-11.03,101.62,48.5,50.5,53.62,0.0,2.89,-35.19,-35.19,57.5,41.5,1.04,1.6,7.37,2026-08-03
000657,中钨高新,1,龙头股,47.99,49.51,-3.07,50.24,47.66,236434.0,3.35,56.11,5.21,697.51,1093.5,10.76,0.79,20260803161439,-18.65,-40.36,-20.34,50.48,62.14,71.72,0.0,-22.77,-55.61,-55.61,35.1,20.1,-2.749,0.93,5.33,2026-08-03
000670,盈方微,1,同花顺,6.71,6.93,-3.17,6.78,6.52,37014.0,6.69,-70.07,3.75,55.72,56.76,184.52,0.68,20260803161442,-3.17,-7.19,-16.75,6.8,6.44,7.85,0.0,4.18,-33.17,-34.79,26.2,53.7,0.341,1.48,5.04,2026-08-03
000676,智度股份,1,15Min,7.59,7.49,1.34,7.94,7.45,164992.0,17.18,66.74,6.54,95.56,95.62,2.23,1.24,20260803161454,6.6,45.12,0.26,7.3,6.35,6.1,1.0,19.58,0.0,-40.52,32.8,71.8,0.254,1.4,6.01,2026-08-03
